"DateTime","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.07.2022","4.015,0","3.950,5","4.048,0","3.905,0","442,66K","1,66%"
"04.07.2022","3.949,5","3.946,0","4.095,0","3.944,0","421,08K","0,14%"
"01.07.2022","3.944,0","3.915,0","4.002,5","3.876,0","504,47K","1,00%"
"30.06.2022","3.905,0","4.000,0","4.056,5","3.865,0","751,50K","-2,74%"
"29.06.2022","4.015,0","3.980,0","4.078,0","3.920,5","442,80K","0,64%"
"28.06.2022","3.989,5","4.109,5","4.109,5","3.983,0","394,21K","-2,70%"
"27.06.2022","4.100,0","4.100,0","4.120,0","4.056,0","223,54K","0,00%"
"24.06.2022","4.100,0","4.149,0","4.160,0","4.044,5","314,43K","-1,20%"
"23.06.2022","4.150,0","4.140,5","4.207,0","4.076,5","657,19K","0,27%"
"22.06.2022","4.139,0","3.990,0","4.179,5","3.932,5","745,92K","2,32%"
"21.06.2022","4.045,0","4.239,0","4.279,5","4.031,5","590,55K","-3,91%"
"20.06.2022","4.209,5","4.202,0","4.245,0","4.128,0","461,01K","0,66%"
"17.06.2022","4.182,0","4.289,5","4.326,0","4.137,0","499,05K","-1,87%"
"16.06.2022","4.261,5","4.116,5","4.300,0","4.105,0","1,09M","3,56%"
"15.06.2022","4.115,0","3.880,0","4.125,0","3.880,0","725,31K","5,74%"
"14.06.2022","3.891,5","3.881,0","3.927,5","3.846,0","299,31K","-0,17%"
"10.06.2022","3.898,0","3.865,0","3.903,0","3.830,0","362,44K","0,57%"
"09.06.2022","3.876,0","3.954,0","3.956,5","3.865,0","289,29K","-1,76%"
"08.06.2022","3.945,5","3.968,0","4.050,0","3.864,0","437,13K","-0,35%"
"07.06.2022","3.959,5","3.940,0","3.970,0","3.816,0","457,70K","0,49%"
"06.06.2022","3.940,0","3.985,0","4.028,0","3.927,0","291,27K","-1,02%"
"03.06.2022","3.980,5","4.040,0","4.070,0","3.930,0","339,61K","-1,35%"
"02.06.2022","4.035,0","4.078,0","4.085,5","3.993,0","314,25K","-0,96%"
"01.06.2022","4.074,0","4.050,0","4.125,0","4.003,0","373,12K","0,31%"
